Company Name,Website,HQ Location,Industry / Category,Company Type,AAPI Relevance,AAPI Notes,Source,Date Added
Zola,https://www.zola.com,"New York, NY",E-commerce,Corporate Sponsor,High,"Founded by Shan-Lyn Ma and Nobu Nakaguchi, both of whom are AAPI.",https://www.zola.com,2026-04-02
Xi'an Famous Foods,https://www.xianfoods.com,"New York, NY",Food and Beverage,Restaurant / F&B,High,"Family-owned business led by CEO Jason Wang, specializing in Western Chinese cuisine.",https://www.xianfoods.com,2026-04-02
Highland Brewing,https://highlandbrewing.com/,"Asheville, North Carolina",Beverage,Product Donor (Large),High,"Founded by Chinese-American Oscar Wong, it is the largest brewery in North Carolina and frequently collaborates on AAPI-themed releases.",https://highlandbrewing.com/,2026-04-02
Vinn Distillery,https://www.vinndistillery.com/,"Portland, Oregon",Spirits,Product Donor (Small Biz),High,Family-owned by Vietnamese-American siblings producing traditional rice-based spirits and the first American-made baijiu.,https://www.vinndistillery.com/,2026-04-02
Shiseido,https://www.shiseido.com/,"Tokyo, Japan",Cosmetics,Corporate Sponsor,High,"Leading Japanese beauty brand that pioneered J-Beauty in the US market, widely used by the AAPI community.",https://www.shiseido.com/,2026-04-02
Ezaki Glico USA,https://www.glico.com/us/,"Osaka, Japan",Food & Beverage,Product Donor (Large),High,"Major Japanese confectionery company that brought Pocky to the US, serving as a cultural staple for AAPI consumers.",https://www.glico.com/us/,2026-04-02
Google,https://www.google.org/,"Mountain View, CA",Technology,Corporate Sponsor,High,Donated to the Asian American Federation in NYC and committed over $10 million to AAPI safety and equity initiatives.,https://www.google.org/,2026-04-02
Salesforce,https://www.salesforce.com/company/equality/,"San Francisco, CA",Technology,Corporate Sponsor,High,Supports AAPI communities through its Racial Equality and Justice Task Force and the Asiapacforce employee resource group.,https://www.salesforce.com/company/equality/,2026-04-02
Brooklyn Brewery,https://brooklynbrewery.com,"79 N 11th St, Brooklyn, NY 11249",Beverages,Corporate Sponsor,Low,Major NYC brewery with a global presence and corporate headquarters in Williamsburg.,https://brooklynbrewery.com,2026-04-02
1947 Craft Beer,https://1947beer.com,"47-32 32nd Place, Long Island City, NY 11101",Beverages,Product Donor (Small Biz),High,"AAPI-owned brewery based in Long Island City, inspired by Indian heritage and the year of India's independence.",https://1947beer.com,2026-04-02
Delta Air Lines,https://www.delta.com,"Atlanta, GA",Airline,Corporate Sponsor,High,Partners with NAPA (National Asian Pacific Islander Desi American Panhellenic Association) to provide travel discounts and support for the APIDA community.,https://www.delta.com,2026-04-02
Expedia Group,https://www.expediagroup.com,"Seattle, WA",Travel Services,Corporate Sponsor,High,"Features the Asian Community at Expedia Group (ACE) Inclusion Business Group, which focuses on API culture awareness and professional development.",https://www.expediagroup.com,2026-04-02
Baccarat Hotel New York,https://www.baccarathotels.com,"New York, NY",Hospitality,Corporate Sponsor,High,Official sponsor of The Asian American Foundation (TAAF) and frequent host for AAPI-led cultural events and designers.,https://www.baccarathotels.com,2026-04-02
The Chatwal,https://www.thechatwalny.com,"New York, NY",Hospitality,Corporate Sponsor,High,AAPI-owned luxury boutique hotel that supports local NYC charities through its Art of Giving program and the Chatwal Family Foundation.,https://www.thechatwalny.com,2026-04-02
Bloomberg,https://www.bloomberg.com,"New York, NY",Financial Technology,Corporate Sponsor,High,"Supports the Bloomberg Pan-Asian Community (BPAC), which provides networking, career development, and cultural awareness for AAPI employees.",https://www.bloomberg.com,2026-04-02
Ziff Davis,https://www.ziffdavis.com,"New York, NY",Digital Media,Media / PR,High,Operates an Asian ERG dedicated to celebrating Asian heritage and fostering professional development through cultural events and leadership series.,https://www.ziffdavis.com,2026-04-02
